Title,Year,Rating,Director,Mins
The Godfather,1972,9.2,Francis Ford Coppola,175
The Godfather: Part II,1974,9.0,Francis Ford Coppola,202
12 Angry Men,1957,8.9,Sidney Lumet,96
It's a Wonderful Life,1946,8.6,Frank Capra,130
Casablanca,1942,8.5,Michael Curtiz,102
Forrest Gump,1994,8.8,Robert Zemeckis,142
The Triumph of the Nerds: The Rise of Accidental Empires,1996,8.5,Robert X. Cringely,165
Citizen Kane,1941,8.4,Orson Welles,119
Modern Times,1936,8.5,Charlie Chaplin,87
The King's Speech,2010,8.0,Tom Hooper,118
The Corporation,2003,8.1,Mark Achbar,145
Casino,1995,8.2,Martin Scorsese,178
There Will Be Blood,2007,8.1,Paul Thomas Anderson,158
Network,1976,8.1,Sidney Lumet,121
Inside Job,2010,8.3,Charles Ferguson,105
Gandhi,1982,8.1,Richard Attenborough,191
The Social Network,2010,7.7,David Fincher,120
The Man Who Would Be King,1975,7.9,John Huston,129
Mildred Pierce,1945,8.0,Michael Curtiz,111
The Insider,1999,7.9,Michael Mann,157
Glengarry Glen Ross,1992,7.8,James Foley,100
Office Space,1999,7.8,Mike Judge,89
American Gangster,2007,7.8,Ridley Scott,157
Man on Wire,2008,7.8,James Marsh,94
The Pursuit of Happyness,2006,8.0,Gabriele Muccino,117
127 Hours,2010,7.6,Danny Boyle,94
Door to Door,2002,7.9,Steven Schachter,90
Thank You for Smoking,2005,7.6,Jason Reitman,92
Up in the Air,2009,7.4,Jason Reitman,109
Lord of War,2005,7.6,Andrew Niccol,122
I.O.U.S.A.,2008,7.6,Patrick Creadon,85
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.4,Tim Burton,116
The Godfather: Part III,1990,7.6,Francis Ford Coppola,162
American Psycho,2000,7.6,Mary Harron,102
The Aviator,2004,7.5,Martin Scorsese,170
The Queen,2006,7.3,Stephen Frears,103
The Method,2005,7.3,Marcelo Pi̱eyro,115
The Hudsucker Proxy,1994,7.3,Joel Coen,111
Wall Street,1987,7.4,Oliver Stone,126
The Mist,2007,7.2,Frank Darabont,126
Gosford Park,2001,7.3,Robert Altman,131
Barbarians at the Gate,1993,7.3,Glenn Jordan,107
Chocolat,2000,7.3,Lasse Hallstr̦m,121
Jerry Maguire,1996,7.3,Cameron Crowe,139
Big Night,1996,7.3,Campbell Scott,109
Soul Kitchen,2009,7.3,Fatih Akin,99
Margin Call,2011,7.1,J.C. Chandor,107
Pirates of Silicon Valley,1999,7.3,Martyn Burke,95
Startup.com,2001,7.1,Chris Hegedus,107
Tucker: The Man and His Dream,1988,6.9,Francis Ford Coppola,110
Boiler Room,2000,7.0,Ben Younger,120
Kinky Boots,2005,7.1,Julian Jarrold,107
In Good Company,2004,6.5,Paul Weitz,109
Risky Business,1983,6.8,Paul Brickman,99
Session 9,2001,6.5,Brad Anderson,100
The Devil Wears Prada,2006,6.8,David Frankel,109
E-Dreams,2001,6.9,Wonsuk Chin,94
Tin Men,1987,6.5,Barry Levinson,112
Wall Street: Money Never Sleeps,2010,6.2,Oliver Stone,133
The Secret of My Succe$s,1987,6.5,Herbert Ross,111
Other People's Money,1991,6.1,Norman Jewison,103
Baby Boom,1987,6.1,Charles Shyer,110
Crazy People,1990,5.9,Tony Bill,90
